category,table_index,MCS,CBS_num_info_bits,sigmoid_center_db,sigmoid_scale_db,fit_loss
PUSCH,2,10,100,-1.8915576712388484,0.473038914935618,0.0004876983469685
PUSCH,2,11,100,-0.9556844228049348,0.4933572554411344,0.000482964153959
PUSCH,2,12,100,0.1341746098001772,0.4990802186036154,0.0004930035791089
PUSCH,2,13,100,1.0076632312755929,0.4473103112556158,0.0004968780291195
PUSCH,2,14,100,2.008317218003985,0.5040383123864218,0.0004939750712155
PUSCH,2,15,100,2.710751406008764,0.4831410931305333,0.0004817493316145
PUSCH,2,16,100,3.767978246627232,0.4700182949326525,0.0004999858514551
PUSCH,2,17,100,5.594047009808486,0.0694223222100754,0.0215151050391771
PUSCH,2,18,100,5.637204032190866,0.5586133535753616,0.0004914337243043
PUSCH,2,19,100,7.383741458902336,0.0711656556455504,0.0256037861441478
PUSCH,2,20,100,7.681009645528113,0.5625379800461657,0.0004924393315839
PUSCH,2,21,100,8.312268475037595,0.5357192275216198,0.0004905421198818
PUSCH,2,22,100,8.888848358292663,0.5455655013407127,0.000485188247758
PUSCH,2,23,100,9.806279914016775,0.5632055628803062,0.000499208613264
PUSCH,2,24,100,11.08074047947756,0.6146306045325395,0.0004979072073044
PUSCH,2,25,100,12.315175601266905,0.571476011648481,0.0004869083529905
PUSCH,2,26,100,13.075447003596295,0.5799270921313282,0.0008760908680953
PUSCH,2,27,100,14.913526466126644,0.6407948239662027,0.0004965787427177
